Stock,URL
APLAB,https://www.bseindia.com/stock-share-price/APLAB-LTD.-$/APLAB/517096
PCS,https://www.bseindia.com/stock-share-price/PCS-TECHNOLOGY-LTD./PCS/517119
USHAMART,https://www.bseindia.com/stock-share-price/USHA-MARTIN-LTD./USHAMART/517146
SPELS,https://www.bseindia.com/stock-share-price/SPEL-SEMICONDUCTOR-LTD./SPELS/517166
SUBROS,https://www.bseindia.com/stock-share-price/SUBROS-LTD./SUBROS/517168
KLKELEC,https://www.bseindia.com/stock-share-price/KLK-Electrical-Ltd/KLKELEC/517170
PERVASIVE,https://www.bseindia.com/stock-share-price/Pervasive-Commodities-Ltd/PERVASIVE/517172
HONAUT,https://www.bseindia.com/stock-share-price/HONEYWELL-AUTOMATION-INDIA-LTD./HONAUT/517174
SWITCHTE,https://www.bseindia.com/stock-share-price/SWITCHING-TECHNOLOGIES-GUNTHER-LTD./SWITCHTE/517201
LUMAXIND,https://www.bseindia.com/stock-share-price/LUMAX-INDUSTRIES-LTD./LUMAXIND/517206
DIGISPICE,https://www.bseindia.com/stock-share-price/Digispice-Technologies-Ltd-$/DIGISPICE/517214
PAEL,https://www.bseindia.com/stock-share-price/PAE-LTD./PAEL/517230
CALCOM,https://www.bseindia.com/stock-share-price/CALCOM-VISION-LTD./CALCOM/517236
DYNAVSN,https://www.bseindia.com/stock-share-price/DYNAVISION-LTD./DYNAVSN/517238
BCCFUBA,https://www.bseindia.com/stock-share-price/BCC-FUBA-INDIA-LTD./BCCFUBA/517246
PRECISIO,https://www.bseindia.com/stock-share-price/PRECISION-ELECTRONICS-LTD./PRECISIO/517258
FINELINE,https://www.bseindia.com/stock-share-price/FINE-LINE-CIRCUITS-LTD./FINELINE/517264
HBLPOWER,https://www.bseindia.com/stock-share-price/HBL-POWER-SYSTEMS-LTD.-$/HBLPOWER/517271
S&SPOWER,https://www.bseindia.com/stock-share-price/S&S-POWER-SWITCHGEAR-LTD./S&SPOWER/517273
GUJARATPOLY,https://www.bseindia.com/stock-share-price/Gujarat-Poly-Electronics-Ltd/GUJARATPOLY/517288
GIPCL,https://www.bseindia.com/stock-share-price/GUJARAT-INDUSTRIES-POWER-CO.LTD./GIPCL/517300
CMI,https://www.bseindia.com/stock-share-price/CMI-LTD./CMI/517330
