Stock,URL
SAPPL,https://www.bseindia.com/stock-share-price/Shree-Ajit-Pulp-And-Paper-Ltd/SAPPL/538795
AANCHALISP,https://www.bseindia.com/stock-share-price/Aanchal-Ispat-Ltd/AANCHALISP/538812
CAPPIPES,https://www.bseindia.com/stock-share-price/Captain-Pipes-Ltd/CAPPIPES/538817
MEL,https://www.bseindia.com/stock-share-price/Meenakshi-Enterprises-Ltd/MEL/538834
INTELLECT,https://www.bseindia.com/stock-share-price/Intellect-Design-Arena-Ltd/INTELLECT/538835
MONTECARLO,https://www.bseindia.com/stock-share-price/Monte-Carlo-Fashions-Ltd/MONTECARLO/538836
JSTL,https://www.bseindia.com/stock-share-price/Jeevan-Scientific-Technology-Ltd/JSTL/538837
ICL,https://www.bseindia.com/stock-share-price/Indo-Cotspin-Ltd/ICL/538838
SCC,https://www.bseindia.com/stock-share-price/Scintilla-Commercial-&-Credit-Ltd/SCC/538857
PANAFIC,https://www.bseindia.com/stock-share-price/Panafic-Industrials-Ltd/PANAFIC/538860
MYMONEY,https://www.bseindia.com/stock-share-price/My-Money-Securities-Ltd/MYMONEY/538862
AMARNATH,https://www.bseindia.com/stock-share-price/Sri-Amarnath-Finance-Ltd/AMARNATH/538863
CSL,https://www.bseindia.com/stock-share-price/Continental-Securities-Ltd/CSL/538868
NEXUSSURGL,https://www.bseindia.com/stock-share-price/Nexus-Surgical-And-Medicare-Ltd/NEXUSSURGL/538874
SELLWIN,https://www.bseindia.com/stock-share-price/Sellwin-Traders-Ltd/SELLWIN/538875
GALADAFIN,https://www.bseindia.com/stock-share-price/Galada-Finance-Ltd/GALADAFIN/538881
EMERALD,https://www.bseindia.com/stock-share-price/Emerald-Leasing-Finance-&-Investment-Company-Ltd/EMERALD/538882
MKEXIM,https://www.bseindia.com/stock-share-price/M.K.-Exim-(India)-Ltd/MKEXIM/538890
MCLOUD,https://www.bseindia.com/stock-share-price/Magellanic-Cloud-Ltd/MCLOUD/538891
OCTAL,https://www.bseindia.com/stock-share-price/Octal-Credit-Capital-Ltd/OCTAL/538894
MIHIKA,https://www.bseindia.com/stock-share-price/Mihika-Industries-Ltd/MIHIKA/538895
KANCHI,https://www.bseindia.com/stock-share-price/Kanchi-Karpooram-Ltd/KANCHI/538896
DHUNTEAIND,https://www.bseindia.com/stock-share-price/Dhunseri-Tea-&-Industries-Ltd/DHUNTEAIND/538902
VANICOM,https://www.bseindia.com/stock-share-price/Vani-Commercials-Ltd/VANICOM/538918
VINCOFE,https://www.bseindia.com/stock-share-price/Vintage-Coffee-And-Beverages-Ltd/VINCOFE/538920
RAFL,https://www.bseindia.com/stock-share-price/Raghuvansh-Agrofarms-Ltd/RAFL/538921
COSYN,https://www.bseindia.com/stock-share-price/COSYN-Ltd/COSYN/538922
SOFCOM,https://www.bseindia.com/stock-share-price/Sofcom-Systems-Ltd/SOFCOM/538923
NAPL,https://www.bseindia.com/stock-share-price/Naturite-Agro-Products-Ltd/NAPL/538926
KARNAVATI,https://www.bseindia.com/stock-share-price/Karnavati-Finance-Ltd/KARNAVATI/538928
ABHIFIN,https://www.bseindia.com/stock-share-price/Abhishek-Finlease-Ltd/ABHIFIN/538935
MERCANTILE,https://www.bseindia.com/stock-share-price/Mercantile-Ventures-Ltd/MERCANTILE/538942
SONAL,https://www.bseindia.com/stock-share-price/Sonal-Mercantile-Ltd/SONAL/538943
ALFL,https://www.bseindia.com/stock-share-price/Abhinav-Leasing-&-Finance-Ltd/ALFL/538952
GENUSPAPER,https://www.bseindia.com/stock-share-price/Genus-Paper-&-Boards-Ltd/GENUSPAPER/538961
MINDACORP,https://www.bseindia.com/stock-share-price/Minda-Corporation-Ltd/MINDACORP/538962
MERCURYLAB,https://www.bseindia.com/stock-share-price/Mercury-Laboratories-Ltd/MERCURYLAB/538964
CONCORD,https://www.bseindia.com/stock-share-price/Concord-Drugs-Ltd/CONCORD/538965
WARDINMOBI,https://www.bseindia.com/stock-share-price/Wardwizard-Innovations-&-Mobility-Ltd/WARDINMOBI/538970
GRNLAMIND,https://www.bseindia.com/stock-share-price/Greenlam-Industries-Ltd/GRNLAMIND/538979
TALBROSENG,https://www.bseindia.com/stock-share-price/Talbros-Engineering-Ltd/TALBROSENG/538987
SAPL,https://www.bseindia.com/stock-share-price/SAR-Auto-Products-Ltd/SAPL/538992
PUROHITCON,https://www.bseindia.com/stock-share-price/Purohit-Construction-Ltd/PUROHITCON/538993
JAYATMA,https://www.bseindia.com/stock-share-price/Jayatma-Enterprises-Ltd/JAYATMA/539005
PTCIL,https://www.bseindia.com/stock-share-price/PTC-Industries-Ltd/PTCIL/539006
CHENFERRO,https://www.bseindia.com/stock-share-price/Chennai-Ferrous-Industries-Ltd/CHENFERRO/539011
MEGRISOFT,https://www.bseindia.com/stock-share-price/Megri-Soft-Ltd/MEGRISOFT/539012
GITARENEW,https://www.bseindia.com/stock-share-price/Gita-Renewable-Energy-Ltd/GITARENEW/539013
ORTEL,https://www.bseindia.com/stock-share-price/Ortel-Communications-Ltd/ORTEL/539015
STARHFL,https://www.bseindia.com/stock-share-price/Star-Housing-Finance-Ltd/STARHFL/539017
BEEKAY,https://www.bseindia.com/stock-share-price/Beekay-Steel-Industries-Ltd/BEEKAY/539018
SSPNFIN,https://www.bseindia.com/stock-share-price/SSPN-Finance-Ltd/SSPNFIN/539026
SETFBSE100,https://www.bseindia.com/stock-share-price/SBI-Mutual-Fund---SBI---ETF-BSE-100/SETFBSE100/539031
FRASER,https://www.bseindia.com/stock-share-price/Fraser-and-Company-Ltd/FRASER/539032
TTIL,https://www.bseindia.com/stock-share-price/Tirupati-Tyres-Ltd/TTIL/539040
SVPHOUSING,https://www.bseindia.com/stock-share-price/SVP-Housing-Ltd/SVPHOUSING/539041
AGIIL,https://www.bseindia.com/stock-share-price/AGI-Infra-Ltd/AGIIL/539042
BKMINDST,https://www.bseindia.com/stock-share-price/BKM-Industries-Ltd/BKMINDST/539043
MANAKSTELTD,https://www.bseindia.com/stock-share-price/Manaksia-Steels-Ltd/MANAKSTELTD/539044
MNKALCOLTD,https://www.bseindia.com/stock-share-price/Manaksia-Aluminium-Company-Ltd/MNKALCOLTD/539045
MNKCMILTD,https://www.bseindia.com/stock-share-price/Manaksia-Coated-Metals-&-Industries-Ltd/MNKCMILTD/539046
IMAGICAA,https://www.bseindia.com/stock-share-price/Imagicaaworld-Entertainment-Ltd/IMAGICAA/539056
INOXWIND,https://www.bseindia.com/stock-share-price/Inox-Wind-Ltd/INOXWIND/539083
CITL,https://www.bseindia.com/stock-share-price/Consecutive-Investment-&-Trading-Company-Ltd/CITL/539091
AANANDALAK,https://www.bseindia.com/stock-share-price/Aananda-Lakshmi-Spinning-Mills-Ltd/AANANDALAK/539096
HKG,https://www.bseindia.com/stock-share-price/HKG-Ltd/HKG/539097
FILTRA,https://www.bseindia.com/stock-share-price/Filtra-Consultants-and-Engineers-Ltd/FILTRA/539098
ATHCON,https://www.bseindia.com/stock-share-price/Athena-Constructions-Ltd/ATHCON/539099
NORTHLINK,https://www.bseindia.com/stock-share-price/Northlink-Fiscal-and-Capital-Services-Ltd/NORTHLINK/539110
SHESHAINDS,https://www.bseindia.com/stock-share-price/Sheshadri-Industries-Ltd/SHESHAINDS/539111
SAB,https://www.bseindia.com/stock-share-price/SAB-Industries-Ltd/SAB/539112
PML,https://www.bseindia.com/stock-share-price/Paul-Merchants-Ltd/PML/539113
ALAN SCOTT,https://www.bseindia.com/stock-share-price/Alan-Scott-Industries-Ltd/ALAN SCOTT/539115
OPCHAINS,https://www.bseindia.com/stock-share-price/O.-P.-Chains-Ltd/OPCHAINS/539116
SUJALA,https://www.bseindia.com/stock-share-price/Sujala-Trading-&-Holdings-Ltd/SUJALA/539117
VRLLOG,https://www.bseindia.com/stock-share-price/VRL-Logistics-Ltd/VRLLOG/539118
JAINMARMO,https://www.bseindia.com/stock-share-price/Jain-Marmo-Industries-Ltd/JAINMARMO/539119
BFFL,https://www.bseindia.com/stock-share-price/Bangalore-Fort-Farms-Ltd/BFFL/539120
PALCO,https://www.bseindia.com/stock-share-price/Palco-Metals-Ltd/PALCO/539121
BODHTREE,https://www.bseindia.com/stock-share-price/Bodhtree-Consulting-Ltd/BODHTREE/539122
VBIND,https://www.bseindia.com/stock-share-price/V-B-Industries-Ltd/VBIND/539123
SARVOTTAM,https://www.bseindia.com/stock-share-price/Sarvottam-Finvest-Ltd/SARVOTTAM/539124
MEP,https://www.bseindia.com/stock-share-price/MEP-Infrastructure-Developers-Ltd/MEP/539126
VEGETABLE,https://www.bseindia.com/stock-share-price/Vegetable-Products-Ltd/VEGETABLE/539132
UFO,https://www.bseindia.com/stock-share-price/UFO-Moviez-India-Ltd/UFO/539141
PANTH,https://www.bseindia.com/stock-share-price/Panth-Infinity-Ltd/PANTH/539143
SHIVALIK,https://www.bseindia.com/stock-share-price/Shivalik-Rasayan-Ltd/SHIVALIK/539148
ICSL,https://www.bseindia.com/stock-share-price/Integrated-Capital-Services-Ltd/ICSL/539149
PNCINFRA,https://www.bseindia.com/stock-share-price/PNC-Infratech-Ltd/PNCINFRA/539150
ARFIN,https://www.bseindia.com/stock-share-price/Arfin-India-Ltd/ARFIN/539151
HELPAGE,https://www.bseindia.com/stock-share-price/Helpage-Finlease-Ltd/HELPAGE/539174
HAWAENG,https://www.bseindia.com/stock-share-price/Hawa-Engineers-Ltd/HAWAENG/539176
AIIL,https://www.bseindia.com/stock-share-price/Authum-Investment-&-Infrastructure-Ltd/AIIL/539177
DFL,https://www.bseindia.com/stock-share-price/Decillion-Finance-Ltd/DFL/539190
POEL,https://www.bseindia.com/stock-share-price/POCL-Enterprises-Ltd/POEL/539195
AEL,https://www.bseindia.com/stock-share-price/Amba-Enterprises-Ltd/AEL/539196
