SCRIP NAME,Security Name,GROUP,FACE VALUE,INDUSTRY,SECTOR,Previous Close,Open,High,Low,VWAP,52 Wk High,52 Wk Low,Upper Price Band,Lower Price Band,Turnover (Cr.),Mcap Full (Cr.),Mcap FF (Cr.),Face Value,EPS (TTM) ,CEPS (TTM),PE,PB,ROE,2W Avg Qty`(Lakh),TTQ (Lakh),Turnover (Lakh)
ABB,ABB India Limited,A ,2.0,Heavy Electrical Equipment,Industrials,3039.05,3027.7,3027.7,2945.3,2977.01,3445.65,1888.85,"3,257.70(10%)","2,665.40(10%)",2.94,62757.72,15689.43,2.0,38.77,43.49,76.4,14.07,18.42,,,
AEGISLOG,AEGIS LOGISTICS LTD.,A ,1.0,Trading - Gas,Energy,299.95,300.0,323.0,300.0,318.65,323.0,167.45,381.20(20%),254.20(20%),13.34,11151.27,4014.46,1.0,25.03,26.35,12.69,7.28,57.37,1.79,4.18,
AMARAJABAT,AMARA RAJA BATTERIES LTD.,A ,1.0,Batteries - Automobile,Consumer Discretionary,508.75,510.0,510.7,501.6,506.33,713.75,438.15,554.40(10%),453.60(10%),,8608.95,4993.19,1.0,30.37,53.54,16.6,1.89,11.4,0.78,,47.94
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,X ,10.0,Pharmaceuticals,Healthcare,30.7,30.75,31.0,30.25,30.61,47.0,27.4,36.45(20%),24.35(20%),,232.97,160.75,10.0,-1.3,-1.27,-23.47,6.91,-29.45,0.7,0.49,14.97
HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,A ,2.0,Housing Finance Company,Financial Services,2383.85,2385.5,2419.95,2379.55,2403.19,3021.1,2026.55,"2,640.45(10%)","2,160.45(10%)",23.54,436240.27,431877.87,10.0,79.29,80.33,30.27,3.63,11.98,3.1,0.98,
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,B ,10.0,Commodity Chemicals,Commodities,89.25,90.75,90.75,87.8,88.94,161.75,72.0,106.40(20%),71.00(20%),,753.7,384.39,10.0,22.74,24.41,3.9,1.5,38.36,0.57,0.54,47.62
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,T ,5.0,Residential- Commercial Projects,Consumer Discretionary,30.65,29.55,31.9,29.15,30.29,31.9,10.5,30.60(5%),27.70(5%),,458.83,234,5.0,-0.53,-0.46,-55.15,2.54,-4.61,0.56,0.41,12.56
UTIQUE,Utique Enterprises Ltd,XT,10.0,Non Banking Financial Company (NBFC),Financial Services,8.35,8.4,8.4,8.05,8.25,13.86,2.73,8.74(5%),7.92(5%),,46.38,32,10.0,3.24,3.25,2.57,1.02,39.57,0.29,0.2,1.66
ARUNAHTEL,ARUNA HOTELS LTD.,X ,10.0,Hotels & Resorts,Consumer Discretionary,17.2,16.6,17.0,16.6,16.93,18.96,8.0,20.25(20%),13.55(20%),,57.29,25.21,10.0,-0.62,-0.32,-27.39,2.96,-10.81,,,1.1
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,A ,2.0,Other Textile Products,Consumer Discretionary,85.75,86.0,86.2,83.45,84.67,140.6,81.3,100.80(20%),67.20(20%),1.1,1734.89,798.05,10.0,-20.79,-19.22,-4.04,-2.29,56.61,1.98,1.29,
ASIANHOTNR,Asian Hotels (North) Limited,B ,10.0,Hotels & Resorts,Consumer Discretionary,89.05,89.15,90.0,87.15,88.09,99.65,68.0,108.00(20%),72.00(20%),,175.08,84.04,10.0,-60.74,-46.86,-1.48,0.71,-47.81,,,0.1
ATUL,ATUL LTD.,A ,10.0,Specialty Chemicals,Commodities,8401.5,8670.0,8670.0,8301.0,8438.23,10859.0,7757.0,"9,143.35(10%)","7,480.95(10%)",1.42,24593.2,13280.33,1.0,213.28,265.45,38.97,5.48,14.06,,,
ATVPR,ATV PROJECTS INDIA LTD.,XT,10.0,Industrial Equipments,Industrials,10.35,10.4,10.41,9.87,10.25,17.75,6.48,10.50(5%),9.50(5%),,53.12,38.78,2.0,1.57,1.74,6.38,0.28,4.45,0.13,0.14,1.48
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,A ,2.0,Household Appliances,Consumer Discretionary,1155.4,1153.7,1166.65,1153.65,1162.58,1378.0,857.55,"1,392.20(20%)",928.20(20%),,13341.08,4936.2,10.0,18.31,23.34,63.37,7.48,11.8,0.36,,21.45
BAJAJHIND,Bajaj Hindusthan Sugar Limited,A ,1.0,Sugar,Fast Moving Consumer Goods,10.38,10.4,10.46,10.1,10.29,22.58,8.37,12.22(20%),8.16(20%),,1301.63,924.16,1.0,-1.78,-0.1,-5.74,0.45,-7.88,8.46,8.78,90.32
FORCEMOT,FORCE MOTORS LTD.-$,A ,10.0,Passenger Cars & Utility Vehicles,Consumer Discretionary,1295.95,1285.55,1326.0,1281.2,1298.22,1740.0,918.85,"1,576.20(20%)","1,050.80(20%)",1.54,1711.87,633.39,4.0,-67.31,89.52,-19.51,0.97,-4.96,0.11,0.12,
BAJFINANCE,Bajaj Finance Limited,A ,2.0,Non Banking Financial Company (NBFC),Financial Services,6967.85,6991.0,7090.6,6983.0,7023.76,8043.5,5235.6,"7,711.00(10%)","6,309.00(10%)",27.93,424406.94,186739.06,2.0,149.15,155.72,47,9.26,19.7,0.83,0.4,
