SCRIP NAME,Security Name,GROUP,FACE VALUE,INDUSTRY,SECTOR,Previous Close,Open,High,Low,VWAP,52 Wk High,52 Wk Low,Upper Price Band,Lower Price Band,2W Avg Qty`(Lakh),TTQ (Lakh),Turnover (Cr.),Mcap Full (Cr.),Mcap FF (Cr.),Face Value,EPS (TTM) ,CEPS (TTM),PE,PB,ROE,Turnover (Lakh)
ABB,ABB India Limited,A ,2.00,Heavy Electrical Equipment,Industrials,2667.9,2694.0,2740.5,2679.25,2712.1,2834.1,1619.3,"2,955.60(10%)","2,418.30(10%)",0.19,,1.52,56938.72,14234.68,2.0,35.46,40.33,75.77,14.08,18.58,
AEGISLOG,AEGIS LOGISTICS LTD.,A ,1.00,Trading - Gas,Energy,267.8,267.8,271.8,263.6,267.38,291.0,167.45,318.20(20%),212.20(20%),1.35,0.52,1.38,9308.52,3444.15,1.0,12.87,14.16,20.6,6.08,29.51,
AMARAJABAT,AMARA RAJA BATTERIES LTD.,A ,1.00,Batteries - Automobile,Consumer Discretionary,505.25,505.35,509.5,503.05,506.45,781.0,438.15,555.20(10%),454.30(10%),0.38,0.16,,8621.76,5000.62,1.0,29.93,53.1,16.86,1.89,11.23,80.29
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,X ,10.00,Pharmaceuticals,Healthcare,29.8,29.95,30.5,29.9,30.32,47.0,27.4,36.15(20%),24.15(20%),0.69,0.52,,231.05,159.42,10.0,0.39,0.41,78.16,6.85,8.77,15.65
HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,A ,2.00,Housing Finance Company,Financial Services,2360.4,2361.0,2362.35,2336.55,2351.98,3021.1,2026.55,"2,589.10(10%)","2,118.40(10%)",2.68,0.16,3.79,427079.97,422809.17,2.0,79.42,80.46,29.64,3.55,11.98,
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,B ,10.00,Commodity Chemicals,Commodities,89.7,89.7,91.2,88.2,89.43,197.4,72.0,106.65(20%),71.15(20%),1.61,1.45,1.3,755.4,385.25,1.0,26.68,28.35,3.33,1.5,45.02,
ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,B ,5.00,Residential- Commercial Projects,Consumer Discretionary,16.6,16.1,16.85,15.95,16.17,22.37,8.5,16.90(5%),15.30(5%),,0.24,,253.42,129.24,5.0,-0.67,-0.6,-24.09,1.4,-5.83,3.81
UTIQUE,Utique Enterprises Ltd,X ,10.00,Non Banking Financial Company (NBFC),Financial Services,4.98,4.98,5.19,4.95,5.03,13.86,2.53,5.95(20%),3.97(20%),0.36,0.51,,27.61,19.05,5.0,2.21,2.23,2.24,0.61,27.01,2.58
ARUNAHTEL,ARUNA HOTELS LTD.,X ,10.00,Hotels & Resorts,Consumer Discretionary,14.72,14.92,15.45,13.95,14.96,18.19,8.0,17.41(20%),11.61(20%),0.25,0.23,,49.19,21.64,10.0,-0.73,-0.5,-19.76,2.54,-12.86,3.43
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,A ,2.00,Other Textile Products,Consumer Discretionary,100.45,100.45,102.1,99.85,101.02,140.6,81.3,121.70(20%),81.20(20%),2.46,1.99,2.01,2095.3,963.84,10.0,-22.29,-20.71,-4.55,-2.76,60.71,
ASIANHOTNR,Asian Hotels (North) Limited,B ,10.00,Hotels & Resorts,Consumer Discretionary,83.9,85.5,85.5,82.9,84.03,105.0,68.0,101.50(20%),67.70(20%),,,,164.57,79,10.0,-64.16,-51.25,-1.32,0.67,-50.5,0.54
ATUL,ATUL LTD.,A ,10.00,Specialty Chemicals,Commodities,9387.6,9380.25,9450.0,9322.35,9401.71,10975.4,7757.0,"10,313.20(10%)","8,438.10(10%)",,,1.06,27739.78,15256.88,1.0,206.68,257.67,45.36,6.41,14.13,
ATVPR,ATV PROJECTS INDIA LTD.,XT,10.00,Industrial Equipments,Industrials,9.83,9.35,10.29,9.35,9.76,17.75,6.48,10.30(5%),9.32(5%),0.18,0.1,,52.11,38.04,10.0,1.51,1.68,6.52,0.28,4.28,1.02
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,A ,2.00,Household Appliances,Consumer Discretionary,1142.2,1145.3,1147.45,1125.0,1134.66,1588.55,857.55,"1,358.00(20%)",905.40(20%),,,,13003.75,4811.39,10.0,13.36,18.3,84.71,7.29,8.6,25.78
BAJAJHIND,Bajaj Hindusthan Sugar Limited,A ,1.00,Sugar,Fast Moving Consumer Goods,10.84,10.85,11.31,10.85,11.1,22.58,9.7,13.15(20%),8.77(20%),26.39,12.66,1.4,1399.99,993.99,1.0,-1.71,-0.03,-6.41,0.49,-7.58,
FORCEMOT,FORCE MOTORS LTD.-$,A ,10.00,Passenger Cars & Utility Vehicles,Consumer Discretionary,1047.95,1079.3,1079.3,1043.15,1060.1,1740.0,918.85,"1,257.10(20%)",838.10(20%),,,,1365.33,505.17,4.0,-56.62,88.3,-18.5,0.77,-4.17,56.1
BAJFINANCE,Bajaj Finance Limited,A ,2.00,Non Banking Financial Company (NBFC),Financial Services,7318.4,7305.0,7367.85,7273.2,7328.94,8043.5,5235.6,"8,033.50(10%)","6,572.90(10%)",0.96,0.39,28.38,442157.08,194549.11,2.0,129.88,136.07,56.23,10.51,18.7,
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,A ,1.00,Sugar,Fast Moving Consumer Goods,364.85,360.0,367.05,347.4,356.46,525.7,297.8,385.20(10%),315.20(10%),1.53,4.42,15.76,7145.48,4072.92,2.0,25.22,30.8,13.88,2.59,18.66,
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,B ,2.00,Auto Components & Equipments,Consumer Discretionary,192.6,193.15,196.75,192.5,193.6,225.0,118.2,234.05(20%),156.05(20%),0.85,1.22,2.37,1394.97,418.49,10.0,11.98,14.74,16.28,2.04,12.5,
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,A ,10.00,Paper & Paper Products,Commodities,847.05,849.9,850.0,835.75,844.19,1025.0,686.5,"1,012.85(20%)",675.25(20%),0.4,,,9427.67,4525.28,2.0,20.99,41.31,40.21,2.41,5.98,27.55
BANARISUG,BANNARI AMMAN SUGARS LTD.,A ,10.00,Sugar,Fast Moving Consumer Goods,2405.35,2497.95,2506.95,2420.8,2481.37,3049.05,1709.95,"2,994.60(20%)","1,996.40(20%)",,,,3129.28,657.15,1.0,63.78,117.9,39.12,2.2,5.62,1.61
BASF,BASF INDIA LTD.,A ,10.00,Specialty Chemicals,Commodities,2916.2,2885.0,2960.0,2885.0,2934.43,3926.95,2330.7,"3,510.65(20%)","2,340.45(20%)",,,,12663.43,3292.49,5.0,137.3,177.38,21.31,5.42,25.44,90.5
BATAINDIA,BATA INDIA LTD.,A ,5.00,Footwear,Consumer Discretionary,1913.35,1939.0,1939.0,1896.65,1912.9,2261.65,1608.0,"2,091.75(10%)","1,711.45(10%)",0.21,,1.37,24440.8,11487.17,5.0,7.85,26.67,242.26,13.47,5.56,
BEML,BEML LTD.,A ,10.00,Construction Vehicles,Industrials,1434.9,1400.0,1437.15,1400.0,1419.47,2084.0,1106.4,"1,703.15(20%)","1,135.45(20%)",0.14,,1.24,5910.6,2718.88,10.0,34.84,50.57,40.74,2.56,6.29,
BEL,BHARAT ELECTRONICS LTD.,A ,1.00,Aerospace & Defense,Industrials,284.1,285.45,285.45,267.25,276.1,287.75,162.4,303.40(10%),248.30(10%),5.08,7.41,20.47,67213.42,32934.57,10.0,11.37,12.93,24.27,5.61,23.11,
BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,A ,1.00,Specialty Chemicals,Commodities,111.5,111.0,113.8,111.0,112.22,221.8,98.0,134.85(20%),89.95(20%),0.3,0.2,,1864.78,764.56,10.0,19.28,19.88,5.83,1.9,32.63,22.55
BIHSPONG,BIHAR SPONGE IRON LTD.,XT,10.00,Sponge Iron,Commodities,8.95,9.15,9.29,8.8,8.96,16.23,7.53,9.26(5%),8.38(5%),0.11,0.24,,79.56,24.66,10.0,0.92,1.25,9.62,-1.06,-10.97,2.15
BIRLACABLE,Birla Cable Ltd,B ,10.00,Telecom -  Equipment & Accessories,Telecommunication,129.5,129.45,133.5,126.7,129.65,177.7,72.6,153.05(20%),102.05(20%),0.22,0.24,,382.65,122.45,10.0,7.25,10.83,17.6,2.05,11.65,31.01
BLUESTARCO,BLUE STAR LTD.,A ,2.00,Air Conditioner,Consumer Discretionary,1000.85,1031.0,1057.9,985.9,1002.45,1224.7,740.05,"1,185.30(20%)",790.20(20%),,0.18,1.77,9513.4,5803.18,10.0,19.3,27.93,51.18,9.43,18.44,
DISAQ,DISA INDIA LTD.,X ,10.00,Industrial Machinery,Industrials,8077.55,8200.0,8345.0,7950.0,8029.5,8472.0,4870.0,"9,570.70(20%)","6,380.50(20%)",,,,1159.82,278.36,2.0,257.46,280.43,30.98,5.75,18.55,29.15
QUESTCAP,Quest Capital Markets Ltd,X ,10.00,Other Capital Market related Services,Financial Services,240.3,237.5,249.35,237.5,241.52,374.9,180.6,262.70(10%),215.00(10%),,,,238.85,31.05,10.0,21.99,22.12,10.86,0.29,2.69,0.61
BPL,BPL LTD.,B ,10.00,Consumer Electronics,Consumer Discretionary,67.9,68.75,70.0,67.55,68.14,176.65,30.0,74.60(10%),61.10(10%),,,,331.83,122.78,10.0,-3.56,-3.22,-19.04,2.21,-11.6,3.36
OAL,Oriental Aromatics Ltd-$,B ,5.00,Specialty Chemicals,Commodities,522.45,524.15,527.2,516.05,519.8,1148.0,501.5,621.35(20%),414.25(20%),,,,1742.58,418.22,5.0,11.82,17.06,43.79,2.87,6.56,11.15
CENTEXT,CENTURY EXTRUSIONS LTD.,B ,1.00,Aluminium- Copper & Zinc Products,Industrials,10.12,10.05,10.37,9.9,10.11,15.77,7.92,12.30(20%),8.20(20%),0.3,0.19,,82,38.54,10.0,0.77,1.2,13.29,1.38,10.42,1.93
CESC,CESC LTD.,A ,1.00,Electric Utilities,Utilities,79.85,81.4,81.4,79.25,79.77,102.45,68.0,95.45(20%),63.65(20%),0.81,0.42,,9938.65,4770.55,10.0,6.16,9.71,12.92,1.06,8.2,33.76
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,A ,10.00,Fertilizers,Commodities,320.05,323.9,328.0,320.5,323.59,515.95,260.75,354.05(10%),289.75(10%),1.36,0.85,2.75,13396.74,5090.76,10.0,32.47,39.74,9.91,2.17,21.86,
EXIDEIND,EXIDE INDUSTRIES LTD.,A ,1.00,Batteries - Automobile,Consumer Discretionary,156.5,156.0,158.2,156.0,157.1,202.95,130.3,172.00(10%),140.80(10%),2.93,1.54,2.42,13294,7045.82,1.0,56.29,61.24,2.78,1.25,45.11,
CIPLA,CIPLA LTD.,A ,2.00,Pharmaceuticals,Healthcare,1044.45,1044.0,1045.95,1032.75,1037.89,1083.15,850.0,"1,137.65(10%)",930.85(10%),1.24,0.3,3.11,83463.2,55085.71,1.0,36.25,42.42,28.53,3.71,12.99,
DICIND,DIC INDIA LTD.,B ,10.00,Printing Inks,Commodities,375.0,375.0,390.0,373.8,380.13,528.0,321.0,459.35(20%),306.25(20%),,,,351.37,98.38,10.0,11.08,26.58,34.56,0.91,2.63,0.32
CRISIL,CRISIL LTD.,A ,1.00,Other Financial Services,Financial Services,3185.7,3194.85,3210.0,3164.25,3189.78,3860.0,2425.45,"3,828.15(20%)","2,552.15(20%)",,,2.08,23302.34,7689.77,2.0,52.33,59.38,60.96,25.66,42.09,
CGPOWER,CG Power and Industrial Solutions Ltd,B ,2.00,Heavy Electrical Equipment,Industrials,228.0,228.0,234.0,226.35,229.52,238.75,74.05,278.25(20%),185.55(20%),1.52,0.82,1.89,35412.91,15227.55,2.0,4.5,4.98,51.57,19.47,37.74,
DABUR,DABUR INDIA LTD.,A ,1.00,Personal Care,Fast Moving Consumer Goods,574.15,574.0,581.85,573.1,577.35,658.75,482.2,637.45(10%),521.55(10%),1.57,0.7,4.02,102671.63,32854.92,1.0,8.09,8.99,71.65,17.51,24.44,
